2026-09-07 20:20:43,297 INFO    [MainThread] etl.pipeline_logger [PLOG-FILE] run log opened for dataset='PERSAT_1788787243.196089' -> logs\PERSAT_1788787243.196089.txt
2026-09-07 20:20:43,498 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 4, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE1B_CALIBRATE", "stage": "CALIBRATE", "status": "COMPLETED", "message": "CALIBRATE completed", "input_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VV.tif", "input_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\raw\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VH.tif", "output_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\_work\\S1A_IW_GRDH_TEST_20240305\\cal_VV.tif", "output_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\_work\\S1A_IW_GRDH_TEST_20240305\\cal_VH.tif", "duration_seconds": 0.015, "memory_peak_mb": 199.72, "cpu_peak_percent": 0.0}
2026-09-07 20:20:43,506 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 5, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE2_CROP", "stage": "CROP", "status": "STARTED", "message": "Cropping to region boundaries", "bbox": [106.4, -6.7, 107.2, -5.9]}
2026-09-07 20:20:43,532 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 6, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE2_CROP", "stage": "CROP", "status": "COMPLETED", "message": "CROP completed", "bbox": [106.4, -6.7, 107.2, -5.9], "output_vv": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\bronze\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VV_crop.tif", "output_vh": "C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\bronze\\sentinel1\\S1A_IW_GRDH_TEST_20240305\\S1A_IW_GRDH_TEST_20240305_VH_crop.tif", "file_size_mb": 0.006, "duration_seconds": 0.016, "memory_peak_mb": 199.76, "cpu_peak_percent": 0.0}
2026-09-07 20:20:43,562 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=53 scene=23 band=VV tier=BRONZE level=RAW source=SENTINEL1 dataset=20 file=S1A_IW_GRDH_TEST_20240305_VV_crop.tif
2026-09-07 20:20:43,595 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=54 scene=23 band=VH tier=BRONZE level=RAW source=SENTINEL1 dataset=20 file=S1A_IW_GRDH_TEST_20240305_VH_crop.tif
2026-09-07 20:20:43,611 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=33 parent=51 →[CROP]→ child=53
2026-09-07 20:20:43,626 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=34 parent=52 →[CROP]→ child=54
2026-09-07 20:20:43,644 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=36 -> SUCCESS
2026-09-07 20:20:43,658 INFO    [Thread-73 (_pipeline_worker)] etl.module5_orchestrator [ORCH] pid=S1A_IW_GRDH_TEST_20240305 berhenti di BRONZE: SENTINEL1 dikonfigurasi RAW-only
2026-09-07 20:20:43,658 INFO    [Thread-73 (_pipeline_worker)] etl.module7_modis_download [M7] dataset_id=20 level=['PROCESSED'] band=['FLOOD', 'NDVI', 'NDWI']
2026-09-07 20:20:43,703 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 7, "dataset_id": 20, "scene_id": "MODIS_20240305", "module": "MODULE7_MODIS_DOWNLOAD", "stage": "DOWNLOAD", "status": "COMPLETED", "message": "MODIS 20240305: selesai (3/3 band)", "date": "2024-03-05", "bands_ok": ["FLOOD", "NDVI", "NDWI"], "bands_failed": [], "degraded": false}
2026-09-07 20:20:43,707 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 8, "dataset_id": 20, "scene_id": "MODIS_20240305_20240305", "module": "MODULE7_MODIS_DOWNLOAD", "stage": "DOWNLOAD_SUMMARY", "status": "COMPLETED", "message": "MODIS selesai: 1/1 hari berhasil", "days_ok": 1, "days_degraded": 0, "days_failed": 0, "failed_days": [], "quality": "GOOD"}
2026-09-07 20:20:43,710 INFO    [Thread-73 (_pipeline_worker)] etl.module7_modis_download [M7] selesai: 1 hari diproses untuk dataset_id=20
2026-09-07 20:20:43,723 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [SCENE] Registered scene_id=24 pid=NASA_AUX_MODIS_20_20240305 acq=2024-03-05T00:00:00+00:00
2026-09-07 20:20:43,734 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=37 scene=24 stage=DOWNLOAD attempt=1
2026-09-07 20:20:43,752 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [NASA] Registered nasa_scene_id=1 source=MODIS tile=MOSAIC date=2024-03-05
2026-09-07 20:20:43,778 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=55 scene=24 band=FLOOD tier=SILVER level=PROCESSED source=MODIS dataset=20 file=modis_20240305_flood.tif
2026-09-07 20:20:43,797 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=38 scene=24 stage=GOLD_EXPORT attempt=1
2026-09-07 20:20:43,805 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> RUNNING
2026-09-07 20:20:43,830 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=56 scene=24 band=FLOOD tier=GOLD level=PROCESSED source=MODIS dataset=20 file=modis_20240305_flood.tif
2026-09-07 20:20:43,840 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=35 parent=55 →[GOLD_EXPORT]→ child=56
2026-09-07 20:20:43,847 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> SUCCESS
2026-09-07 20:20:43,853 WARNING [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Duplicate job skipped: scene=24 stage=DOWNLOAD attempt=1 (job_id=37)
2026-09-07 20:20:43,883 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=57 scene=24 band=NDVI tier=SILVER level=PROCESSED source=MODIS dataset=20 file=modis_20240305_ndvi.tif
2026-09-07 20:20:43,896 WARNING [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Duplicate job skipped: scene=24 stage=GOLD_EXPORT attempt=1 (job_id=38)
2026-09-07 20:20:43,899 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> RUNNING
2026-09-07 20:20:43,929 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=58 scene=24 band=NDVI tier=GOLD level=PROCESSED source=MODIS dataset=20 file=modis_20240305_ndvi.tif
2026-09-07 20:20:43,940 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=36 parent=57 →[GOLD_EXPORT]→ child=58
2026-09-07 20:20:43,947 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> SUCCESS
2026-09-07 20:20:43,951 WARNING [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Duplicate job skipped: scene=24 stage=DOWNLOAD attempt=1 (job_id=37)
2026-09-07 20:20:43,978 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=59 scene=24 band=NDWI tier=SILVER level=PROCESSED source=MODIS dataset=20 file=modis_20240305_ndwi.tif
2026-09-07 20:20:43,997 WARNING [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Duplicate job skipped: scene=24 stage=GOLD_EXPORT attempt=1 (job_id=38)
2026-09-07 20:20:44,004 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> RUNNING
2026-09-07 20:20:44,032 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=60 scene=24 band=NDWI tier=GOLD level=PROCESSED source=MODIS dataset=20 file=modis_20240305_ndwi.tif
2026-09-07 20:20:44,044 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=37 parent=59 →[GOLD_EXPORT]→ child=60
2026-09-07 20:20:44,044 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=38 -> SUCCESS
2026-09-07 20:20:44,051 INFO    [Thread-73 (_pipeline_worker)] etl.module8_gpm_download [M8] dataset_id=20 level=['RAW'] window=['24h'] granule_hari=1
2026-09-07 20:20:44,067 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 9, "dataset_id": 20, "scene_id": "GPM_20240305", "module": "MODULE8_GPM_DOWNLOAD", "stage": "DOWNLOAD", "status": "COMPLETED", "message": "GPM 24h: selesai (1 hari)", "window": "24h", "days_aggregated": 1}
2026-09-07 20:20:44,075 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 10, "dataset_id": 20, "scene_id": "GPM_20240305", "module": "MODULE8_GPM_DOWNLOAD", "stage": "DOWNLOAD_SUMMARY", "status": "COMPLETED", "message": "GPM selesai: 1/1 produk", "windows_ok": ["24h"], "windows_failed": [], "quality": "GOOD"}
2026-09-07 20:20:44,075 INFO    [Thread-73 (_pipeline_worker)] etl.module8_gpm_download [M8] selesai: 1/1 produk rainfall dibuat untuk dataset_id=20 tanggal=2024-03-05
2026-09-07 20:20:44,086 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [SCENE] Registered scene_id=25 pid=NASA_AUX_GPM_20_20240305 acq=2024-03-05T00:00:00+00:00
2026-09-07 20:20:44,098 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=39 scene=25 stage=DOWNLOAD attempt=1
2026-09-07 20:20:44,107 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [NASA] Registered nasa_scene_id=2 source=GPM tile=GLOBAL date=2024-03-05
2026-09-07 20:20:44,132 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=61 scene=25 band=RAIN_24H tier=BRONZE level=RAW source=GPM dataset=20 file=gpm_rain_24h_20240305.tif
2026-09-07 20:20:44,143 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 11, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "STARTED", "message": "Fusing multi-modal data into H5", "layers": ["gpm/rainfall_daily", "modis/FLOOD", "modis/NDVI", "modis/NDWI", "sentinel1/VH", "sentinel1/VV"], "processing_levels": ["PROCESSED"]}
2026-09-07 20:20:44,165 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 12, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer sentinel1/VV (1/6)", "progress_percent": 16.7, "layer": "sentinel1/VV"}
2026-09-07 20:20:44,179 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 13, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer sentinel1/VH (2/6)", "progress_percent": 33.3, "layer": "sentinel1/VH"}
2026-09-07 20:20:44,203 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 14, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer modis/FLOOD (3/6)", "progress_percent": 50.0, "layer": "modis/FLOOD"}
2026-09-07 20:20:44,215 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 15, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer modis/NDVI (4/6)", "progress_percent": 66.7, "layer": "modis/NDVI"}
2026-09-07 20:20:44,228 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 16, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer modis/NDWI (5/6)", "progress_percent": 83.3, "layer": "modis/NDWI"}
2026-09-07 20:20:44,240 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 17, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "RUNNING", "message": "Fusing layer gpm/rainfall_daily (6/6)", "progress_percent": 100.0, "layer": "gpm/rainfall_daily"}
2026-09-07 20:20:44,260 INFO    [Thread-73 (_pipeline_worker)] etl.module9_fusion [M9] Saving fusion H5 to FUSION tier: C:\Users\hakim\AppData\Local\Temp\pytest-of-hakim\pytest-34\test_produces_exactly_one_stac0\datasets\20_PERSAT_1788787243.196089\fusion\20240305\fusion_20240305_processed.h5 level=PROCESSED shape=(24, 32) layers=6 ['gpm/rainfall_daily', 'modis/FLOOD', 'modis/NDVI', 'modis/NDWI', 'sentinel1/VH', 'sentinel1/VV']
2026-09-07 20:20:44,314 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] Created job_id=40 scene=23 stage=FUSION attempt=1
2026-09-07 20:20:44,324 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=40 -> RUNNING
2026-09-07 20:20:44,339 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [PRODUCT] Registered product_id=62 scene=23 band=FUSION_PROCESSED tier=FUSION level=PROCESSED source=FUSION dataset=20 file=fusion_20240305_processed.h5
2026-09-07 20:20:44,348 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=38 parent=53 →[FUSION]→ child=62
2026-09-07 20:20:44,358 INFO    [Thread-73 (_pipeline_worker)] etl.lineage_tracker [LINEAGE] lineage_id=39 parent=54 →[FUSION]→ child=62
2026-09-07 20:20:44,364 INFO    [Thread-73 (_pipeline_worker)] etl.metadata_manager [JOB] job_id=40 -> SUCCESS
2026-09-07 20:20:44,364 INFO    [Thread-73 (_pipeline_worker)] etl.module9_fusion [M9] fusion_id=1 dataset=20 date=2024-03-05 level=PROCESSED sources={'SENTINEL1': 'RAW', 'MODIS': 'PROCESSED', 'GPM': 'RAW'} path=C:\Users\hakim\AppData\Local\Temp\pytest-of-hakim\pytest-34\test_produces_exactly_one_stac0\datasets\20_PERSAT_1788787243.196089\fusion\20240305\fusion_20240305_processed.h5 hash=def6a7385723
2026-09-07 20:20:44,372 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 18, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "MODULE9_FUSION", "stage": "FUSION", "status": "COMPLETED", "message": "FUSION completed", "layers": ["gpm/rainfall_daily", "modis/FLOOD", "modis/NDVI", "modis/NDWI", "sentinel1/VH", "sentinel1/VV"], "processing_levels": ["PROCESSED"], "output_paths": ["C:\\Users\\hakim\\AppData\\Local\\Temp\\pytest-of-hakim\\pytest-34\\test_produces_exactly_one_stac0\\datasets\\20_PERSAT_1788787243.196089\\fusion\\20240305\\fusion_20240305_processed.h5"], "file_size_mb": 0.038, "duration_seconds": 0.219, "memory_peak_mb": 200.17, "cpu_peak_percent": 0.0}
2026-09-07 20:20:44,399 INFO    [Thread-73 (_pipeline_worker)] etl.pipeline_logger [PLOG] {"log_id": 19, "dataset_id": 20, "scene_id": "S1A_IW_GRDH_TEST_20240305", "module": "ORCHESTRATOR", "stage": "SCENE_PIPELINE", "status": "COMPLETED", "message": "Scene processed successfully (tiers: RAW, BRONZE, SILVER, GOLD, FUSION)", "duration_seconds": 1.031, "produced_tiers": ["RAW", "BRONZE", "SILVER", "GOLD", "FUSION"], "storage_breakdown_mb": {"RAW": 0.006, "BRONZE": 0.009, "SILVER": 0.009, "GOLD": 0.009, "FUSION": 0.041}, "total_size_mb": 0.074}
2026-09-07 20:20:44,420 INFO    [MainThread] etl.pipeline_logger [PLOG-FILE] run log closed for dataset='PERSAT_1788787243.196089'
